threads,width,height,tile,run_index,time_ms,cpu_avg,cpu_max,outfile,stdout
1,640,360,16,0,9425.036,12.25,29.51,results/out_640x360_t1_tile16_r0.png,RENDER_TIME_MS: 9425.036\nCPU_AVG: 12.25\nCPU_MAX: 29.51\n
1,640,360,16,1,9109.363,7.59,32.34,results/out_640x360_t1_tile16_r1.png,RENDER_TIME_MS: 9109.363\nCPU_AVG: 7.59\nCPU_MAX: 32.34\n
1,640,360,16,2,9124.582,7.39,22.08,results/out_640x360_t1_tile16_r2.png,RENDER_TIME_MS: 9124.582\nCPU_AVG: 7.39\nCPU_MAX: 22.08\n
2,640,360,16,0,5048.397,14.33,45.24,results/out_640x360_t2_tile16_r0.png,RENDER_TIME_MS: 5048.397\nCPU_AVG: 14.33\nCPU_MAX: 45.24\n
2,640,360,16,1,5025.117,14.52,58.31,results/out_640x360_t2_tile16_r1.png,RENDER_TIME_MS: 5025.117\nCPU_AVG: 14.52\nCPU_MAX: 58.31\n
2,640,360,16,2,5062.604,13.43,42.43,results/out_640x360_t2_tile16_r2.png,RENDER_TIME_MS: 5062.604\nCPU_AVG: 13.43\nCPU_MAX: 42.43\n
4,640,360,16,0,2737.879,26.08,61.74,results/out_640x360_t4_tile16_r0.png,RENDER_TIME_MS: 2737.879\nCPU_AVG: 26.08\nCPU_MAX: 61.74\n
4,640,360,16,1,2722.797,26.69,73.68,results/out_640x360_t4_tile16_r1.png,RENDER_TIME_MS: 2722.797\nCPU_AVG: 26.69\nCPU_MAX: 73.68\n
4,640,360,16,2,2753.983,27.60,67.77,results/out_640x360_t4_tile16_r2.png,RENDER_TIME_MS: 2753.983\nCPU_AVG: 27.60\nCPU_MAX: 67.77\n
8,640,360,16,0,1856.915,49.92,64.99,results/out_640x360_t8_tile16_r0.png,RENDER_TIME_MS: 1856.915\nCPU_AVG: 49.92\nCPU_MAX: 64.99\n
8,640,360,16,1,1920.079,50.45,72.67,results/out_640x360_t8_tile16_r1.png,RENDER_TIME_MS: 1920.079\nCPU_AVG: 50.45\nCPU_MAX: 72.67\n
8,640,360,16,2,1988.016,52.25,65.56,results/out_640x360_t8_tile16_r2.png,RENDER_TIME_MS: 1988.016\nCPU_AVG: 52.25\nCPU_MAX: 65.56\n
16,640,360,16,0,2133.237,86.50,92.07,results/out_640x360_t16_tile16_r0.png,RENDER_TIME_MS: 2133.237\nCPU_AVG: 86.50\nCPU_MAX: 92.07\n
16,640,360,16,1,2115.433,85.94,90.24,results/out_640x360_t16_tile16_r1.png,RENDER_TIME_MS: 2115.433\nCPU_AVG: 85.94\nCPU_MAX: 90.24\n
16,640,360,16,2,2178.165,86.78,90.12,results/out_640x360_t16_tile16_r2.png,RENDER_TIME_MS: 2178.165\nCPU_AVG: 86.78\nCPU_MAX: 90.12\n
1,1280,720,16,0,36956.040,7.85,27.04,results/out_1280x720_t1_tile16_r0.png,RENDER_TIME_MS: 36956.040\nCPU_AVG: 7.85\nCPU_MAX: 27.04\n
1,1280,720,16,1,36942.072,9.84,33.08,results/out_1280x720_t1_tile16_r1.png,RENDER_TIME_MS: 36942.072\nCPU_AVG: 9.84\nCPU_MAX: 33.08\n
1,1280,720,16,2,36129.474,7.70,27.26,results/out_1280x720_t1_tile16_r2.png,RENDER_TIME_MS: 36129.474\nCPU_AVG: 7.70\nCPU_MAX: 27.26\n
2,1280,720,16,0,19329.765,13.78,46.71,results/out_1280x720_t2_tile16_r0.png,RENDER_TIME_MS: 19329.765\nCPU_AVG: 13.78\nCPU_MAX: 46.71\n
2,1280,720,16,1,19262.119,13.88,46.49,results/out_1280x720_t2_tile16_r1.png,RENDER_TIME_MS: 19262.119\nCPU_AVG: 13.88\nCPU_MAX: 46.49\n
2,1280,720,16,2,19240.403,13.79,36.50,results/out_1280x720_t2_tile16_r2.png,RENDER_TIME_MS: 19240.403\nCPU_AVG: 13.79\nCPU_MAX: 36.50\n
4,1280,720,16,0,10329.937,26.19,49.02,results/out_1280x720_t4_tile16_r0.png,RENDER_TIME_MS: 10329.937\nCPU_AVG: 26.19\nCPU_MAX: 49.02\n
4,1280,720,16,1,10296.377,26.60,49.46,results/out_1280x720_t4_tile16_r1.png,RENDER_TIME_MS: 10296.377\nCPU_AVG: 26.60\nCPU_MAX: 49.46\n
4,1280,720,16,2,10397.817,26.26,51.24,results/out_1280x720_t4_tile16_r2.png,RENDER_TIME_MS: 10397.817\nCPU_AVG: 26.26\nCPU_MAX: 51.24\n
8,1280,720,16,0,6504.716,50.35,63.77,results/out_1280x720_t8_tile16_r0.png,RENDER_TIME_MS: 6504.716\nCPU_AVG: 50.35\nCPU_MAX: 63.77\n
8,1280,720,16,1,6594.208,49.92,61.32,results/out_1280x720_t8_tile16_r1.png,RENDER_TIME_MS: 6594.208\nCPU_AVG: 49.92\nCPU_MAX: 61.32\n
8,1280,720,16,2,6632.188,49.97,61.82,results/out_1280x720_t8_tile16_r2.png,RENDER_TIME_MS: 6632.188\nCPU_AVG: 49.97\nCPU_MAX: 61.82\n
16,1280,720,16,0,6000.153,89.68,91.82,results/out_1280x720_t16_tile16_r0.png,RENDER_TIME_MS: 6000.153\nCPU_AVG: 89.68\nCPU_MAX: 91.82\n
16,1280,720,16,1,6026.844,89.94,92.05,results/out_1280x720_t16_tile16_r1.png,RENDER_TIME_MS: 6026.844\nCPU_AVG: 89.94\nCPU_MAX: 92.05\n
16,1280,720,16,2,6219.184,89.73,92.59,results/out_1280x720_t16_tile16_r2.png,RENDER_TIME_MS: 6219.184\nCPU_AVG: 89.73\nCPU_MAX: 92.59\n
1,1920,1080,16,0,83071.395,7.83,13.09,results/out_1920x1080_t1_tile16_r0.png,RENDER_TIME_MS: 83071.395\nCPU_AVG: 7.83\nCPU_MAX: 13.09\n
1,1920,1080,16,1,82559.392,7.82,12.73,results/out_1920x1080_t1_tile16_r1.png,RENDER_TIME_MS: 82559.392\nCPU_AVG: 7.82\nCPU_MAX: 12.73\n
1,1920,1080,16,2,81350.879,7.18,12.77,results/out_1920x1080_t1_tile16_r2.png,RENDER_TIME_MS: 81350.879\nCPU_AVG: 7.18\nCPU_MAX: 12.77\n
2,1920,1080,16,0,63585.639,13.74,37.15,results/out_1920x1080_t2_tile16_r0.png,RENDER_TIME_MS: 63585.639\nCPU_AVG: 13.74\nCPU_MAX: 37.15\n
2,1920,1080,16,1,62763.612,14.54,54.04,results/out_1920x1080_t2_tile16_r1.png,RENDER_TIME_MS: 62763.612\nCPU_AVG: 14.54\nCPU_MAX: 54.04\n
2,1920,1080,16,2,60353.535,14.18,50.03,results/out_1920x1080_t2_tile16_r2.png,RENDER_TIME_MS: 60353.535\nCPU_AVG: 14.18\nCPU_MAX: 50.03\n
4,1920,1080,16,0,23322.236,26.28,49.08,results/out_1920x1080_t4_tile16_r0.png,RENDER_TIME_MS: 23322.236\nCPU_AVG: 26.28\nCPU_MAX: 49.08\n
4,1920,1080,16,1,23547.256,26.00,66.70,results/out_1920x1080_t4_tile16_r1.png,RENDER_TIME_MS: 23547.256\nCPU_AVG: 26.00\nCPU_MAX: 66.70\n
4,1920,1080,16,2,23641.147,26.01,51.93,results/out_1920x1080_t4_tile16_r2.png,RENDER_TIME_MS: 23641.147\nCPU_AVG: 26.01\nCPU_MAX: 51.93\n
8,1920,1080,16,0,14463.187,49.12,60.64,results/out_1920x1080_t8_tile16_r0.png,RENDER_TIME_MS: 14463.187\nCPU_AVG: 49.12\nCPU_MAX: 60.64\n
8,1920,1080,16,1,14727.423,49.93,59.99,results/out_1920x1080_t8_tile16_r1.png,RENDER_TIME_MS: 14727.423\nCPU_AVG: 49.93\nCPU_MAX: 59.99\n
8,1920,1080,16,2,14633.552,48.93,59.37,results/out_1920x1080_t8_tile16_r2.png,RENDER_TIME_MS: 14633.552\nCPU_AVG: 48.93\nCPU_MAX: 59.37\n
16,1920,1080,16,0,13042.283,90.39,92.56,results/out_1920x1080_t16_tile16_r0.png,RENDER_TIME_MS: 13042.283\nCPU_AVG: 90.39\nCPU_MAX: 92.56\n
16,1920,1080,16,1,13105.964,90.84,92.50,results/out_1920x1080_t16_tile16_r1.png,RENDER_TIME_MS: 13105.964\nCPU_AVG: 90.84\nCPU_MAX: 92.50\n
16,1920,1080,16,2,13322.941,90.25,91.87,results/out_1920x1080_t16_tile16_r2.png,RENDER_TIME_MS: 13322.941\nCPU_AVG: 90.25\nCPU_MAX: 91.87\n
1,3840,2160,16,0,329284.428,7.30,14.53,results/out_3840x2160_t1_tile16_r0.png,RENDER_TIME_MS: 329284.428\nCPU_AVG: 7.30\nCPU_MAX: 14.53\n
1,3840,2160,16,1,326297.105,7.30,14.12,results/out_3840x2160_t1_tile16_r1.png,RENDER_TIME_MS: 326297.105\nCPU_AVG: 7.30\nCPU_MAX: 14.12\n
1,3840,2160,16,2,325510.025,7.27,12.50,results/out_3840x2160_t1_tile16_r2.png,RENDER_TIME_MS: 325510.025\nCPU_AVG: 7.27\nCPU_MAX: 12.50\n
2,3840,2160,16,0,260872.779,13.60,47.75,results/out_3840x2160_t2_tile16_r0.png,RENDER_TIME_MS: 260872.779\nCPU_AVG: 13.60\nCPU_MAX: 47.75\n
2,3840,2160,16,1,260626.132,13.62,43.46,results/out_3840x2160_t2_tile16_r1.png,RENDER_TIME_MS: 260626.132\nCPU_AVG: 13.62\nCPU_MAX: 43.46\n
2,3840,2160,16,2,247366.843,13.78,41.11,results/out_3840x2160_t2_tile16_r2.png,RENDER_TIME_MS: 247366.843\nCPU_AVG: 13.78\nCPU_MAX: 41.11\n
4,3840,2160,16,0,134457.152,25.74,63.57,results/out_3840x2160_t4_tile16_r0.png,RENDER_TIME_MS: 134457.152\nCPU_AVG: 25.74\nCPU_MAX: 63.57\n
4,3840,2160,16,1,136474.068,25.73,64.62,results/out_3840x2160_t4_tile16_r1.png,RENDER_TIME_MS: 136474.068\nCPU_AVG: 25.73\nCPU_MAX: 64.62\n
4,3840,2160,16,2,133903.347,26.01,62.75,results/out_3840x2160_t4_tile16_r2.png,RENDER_TIME_MS: 133903.347\nCPU_AVG: 26.01\nCPU_MAX: 62.75\n
8,3840,2160,16,0,79774.531,48.52,82.20,results/out_3840x2160_t8_tile16_r0.png,RENDER_TIME_MS: 79774.531\nCPU_AVG: 48.52\nCPU_MAX: 82.20\n
8,3840,2160,16,1,80500.656,48.38,83.34,results/out_3840x2160_t8_tile16_r1.png,RENDER_TIME_MS: 80500.656\nCPU_AVG: 48.38\nCPU_MAX: 83.34\n
8,3840,2160,16,2,80702.034,48.66,84.95,results/out_3840x2160_t8_tile16_r2.png,RENDER_TIME_MS: 80702.034\nCPU_AVG: 48.66\nCPU_MAX: 84.95\n
16,3840,2160,16,0,53287.199,87.38,89.47,results/out_3840x2160_t16_tile16_r0.png,RENDER_TIME_MS: 53287.199\nCPU_AVG: 87.38\nCPU_MAX: 89.47\n
16,3840,2160,16,1,53727.767,87.44,89.59,results/out_3840x2160_t16_tile16_r1.png,RENDER_TIME_MS: 53727.767\nCPU_AVG: 87.44\nCPU_MAX: 89.59\n
16,3840,2160,16,2,53096.800,87.02,88.66,results/out_3840x2160_t16_tile16_r2.png,RENDER_TIME_MS: 53096.800\nCPU_AVG: 87.02\nCPU_MAX: 88.66\n
